User ID,Matched With,Score
S001,F043,70.0
S001,F044,46.02
S001,F029,44.96
S002,F006,50.32
S002,F024,47.36
S002,F048,45.74
S003,F033,57.19
S003,F025,54.8
S003,F024,47.06
S004,F024,70.0
S004,F021,56.36
S004,F012,50.47
S005,F044,61.02
S005,F043,55.0
S005,F048,51.36
S006,F039,70.0
S006,F002,55.0
S006,F025,54.28
S007,F026,75.0
S007,F049,55.0
S007,F032,51.28
S008,F001,69.43
S008,F004,50.31
S008,F012,47.65
S009,F050,55.0
S009,F001,53.46
S009,F019,50.45
S010,F043,70.0
S010,F029,64.96
S010,F050,63.28
S011,F022,90.0
S011,F003,69.28
S011,F008,55.0
S012,F005,70.0
S012,F024,55.47
S012,F034,55.0
S013,F014,51.28
S013,F009,51.28
S013,F037,46.52
S014,F031,53.08
S014,F007,51.86
S014,F015,48.08
S015,F001,66.38
S015,F003,63.28
S015,F017,55.0
S016,F002,75.0
S016,F039,70.0
S016,F040,58.95
S017,F009,64.9
S017,F026,56.28
S017,F032,55.0
S018,F044,90.0
S018,F021,55.0
S018,F012,51.06
S019,F035,55.47
S019,F032,52.19
S019,F030,52.19
S020,F013,55.0
S020,F011,53.46
S020,F025,51.36
S021,F001,56.28
S021,F037,55.0
S021,F049,50.45
S022,F004,53.08
S022,F049,50.74
S022,F001,46.59
S023,F027,55.0
S023,F011,55.0
S023,F013,53.46
S024,F037,55.0
S024,F001,51.28
S024,F012,45.73
S025,F010,49.14
S025,F016,47.06
S025,F042,47.06
S026,F013,55.0
S026,F011,53.46
S026,F025,51.36
S027,F048,55.47
S027,F040,51.03
S027,F008,50.47
S028,F016,90.0
S028,F042,70.0
S028,F005,51.03
S029,F048,57.19
S029,F045,55.0
S029,F008,52.19
S030,F032,70.0
S030,F030,70.0
S030,F035,54.43
S031,F028,51.24
S031,F026,44.9
S031,F041,43.1
S032,F024,55.0
S032,F046,52.19
S032,F020,52.19
S033,F050,75.0
S033,F021,52.65
S033,F037,51.86
S034,F001,55.0
S034,F033,49.44
S034,F050,48.46
S035,F019,49.9
S035,F029,48.13
S035,F021,47.36
S036,F005,55.0
S036,F034,55.0
S036,F012,55.0
S037,F044,75.0
S037,F012,66.06
S037,F021,55.0
S038,F005,70.0
S038,F012,55.0
S038,F034,55.0
S039,F041,75.0
S039,F028,51.86
S039,F019,44.14
S040,F017,75.0
S040,F002,65.31
S040,F040,48.28
S041,F044,56.36
S041,F034,55.47
S041,F012,55.47
S042,F016,55.0
S042,F042,55.0
S042,F024,54.28
S043,F024,90.0
S043,F020,57.19
S043,F046,57.19
S044,F018,53.05
S044,F015,48.08
S044,F049,47.42
S045,F019,70.0
S045,F044,51.25
S045,F010,51.21
S046,F009,66.24
S046,F033,55.0
S046,F028,51.28
S047,F020,70.0
S047,F046,70.0
S047,F042,66.38
S048,F032,66.25
S048,F020,55.0
S048,F046,55.0
S049,F025,70.47
S049,F005,65.14
S049,F004,55.0
S050,F045,71.28
S050,F023,55.0
S050,F008,53.05
