Provider ID,Matched Founder ID,Match Score,Key Matching Reasons
S001,F043,70.0,"Skill Match, Project Type Match, Timeline Fit"
S001,F044,46.02,"Industry Match, Project Type Match"
S001,F029,44.96,"Project Type Match, Timeline Fit"
S002,F006,50.32,"Industry Match, Timeline Fit"
S002,F024,47.36,"Project Type Match, Timeline Fit"
S002,F048,45.74,"Industry Match, Project Type Match"
S003,F033,57.19,"Industry Match, Skill Match"
S003,F025,54.8,"Industry Match, Project Type Match"
S003,F024,47.06,"Project Type Match, Timeline Fit"
S004,F024,70.0,"Skill Match, Project Type Match, Timeline Fit"
S004,F021,56.36,"Industry Match, Skill Match"
S004,F012,50.47,"Skill Match, Timeline Fit"
S005,F044,61.02,"Industry Match, Project Type Match, Timeline Fit"
S005,F043,55.0,"Skill Match, Project Type Match"
S005,F048,51.36,"Skill Match, Timeline Fit"
S006,F039,70.0,"Skill Match, Project Type Match, Timeline Fit"
S006,F002,55.0,"Skill Match, Project Type Match"
S006,F025,54.28,"Industry Match, Skill Match"
S007,F026,75.0,"Industry Match, Skill Match, Project Type Match"
S007,F049,55.0,"Skill Match, Project Type Match"
S007,F030,51.28,"Skill Match, Timeline Fit"
S008,F001,69.43,"Industry Match, Skill Match, Timeline Fit"
S008,F004,50.31,"Industry Match, Project Type Match"
S008,F012,47.65,"Project Type Match, Timeline Fit"
S009,F050,55.0,"Skill Match, Project Type Match"
S009,F001,53.46,"Industry Match, Skill Match"
S009,F019,50.45,"Industry Match, Project Type Match"
S010,F043,70.0,"Skill Match, Project Type Match, Timeline Fit"
S010,F029,64.96,"Industry Match, Project Type Match, Timeline Fit"
S010,F050,63.28,"Industry Match, Project Type Match, Timeline Fit"
S011,F022,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
S011,F003,69.28,"Industry Match, Skill Match, Timeline Fit"
S011,F008,55.0,"Skill Match, Project Type Match"
S012,F005,70.0,"Skill Match, Project Type Match, Timeline Fit"
S012,F024,55.47,"Industry Match, Skill Match"
S012,F012,55.0,"Skill Match, Project Type Match"
S013,F009,51.28,"Skill Match, Timeline Fit"
S013,F014,51.28,"Skill Match, Timeline Fit"
S013,F037,46.52,"Project Type Match, Timeline Fit"
S014,F031,53.08,"Industry Match, Skill Match"
S014,F007,51.86,"Industry Match, Skill Match"
S014,F015,48.08,"Skill Match, Timeline Fit"
S015,F001,66.38,"Industry Match, Skill Match, Timeline Fit"
S015,F003,63.28,"Industry Match, Project Type Match, Timeline Fit"
S015,F017,55.0,"Skill Match, Project Type Match"
S016,F002,75.0,"Industry Match, Skill Match, Project Type Match"
S016,F039,70.0,"Skill Match, Project Type Match, Timeline Fit"
S016,F040,58.95,"Industry Match, Project Type Match, Timeline Fit"
S017,F009,64.9,"Industry Match, Project Type Match, Timeline Fit"
S017,F026,56.28,"Industry Match, Skill Match"
S017,F030,55.0,"Skill Match, Project Type Match"
S018,F044,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
S018,F021,55.0,"Skill Match, Project Type Match"
S018,F012,51.06,"Industry Match, Skill Match"
S019,F035,55.47,"Industry Match, Skill Match"
S019,F030,52.19,"Skill Match, Timeline Fit"
S019,F032,52.19,"Skill Match, Timeline Fit"
S020,F013,55.0,"Skill Match, Project Type Match"
S020,F011,53.46,"Industry Match, Skill Match"
S020,F025,51.36,"Skill Match, Timeline Fit"
S021,F001,56.28,"Industry Match, Skill Match"
S021,F037,55.0,"Skill Match, Project Type Match"
S021,F049,50.45,"Industry Match, Project Type Match"
S022,F004,53.08,"Industry Match, Skill Match"
S022,F049,50.74,"Industry Match, Project Type Match"
S022,F001,46.59,"Industry Match, Timeline Fit"
S023,F011,55.0,"Skill Match, Project Type Match"
S023,F027,55.0,"Skill Match, Project Type Match"
S023,F013,53.46,"Industry Match, Skill Match"
S024,F037,55.0,"Skill Match, Project Type Match"
S024,F001,51.28,"Skill Match, Timeline Fit"
S024,F012,45.73,"Industry Match, Timeline Fit"
S025,F010,49.14,"Industry Match, Project Type Match"
S025,F016,47.06,"Project Type Match, Timeline Fit"
S025,F042,47.06,"Project Type Match, Timeline Fit"
S026,F013,55.0,"Skill Match, Project Type Match"
S026,F011,53.46,"Industry Match, Skill Match"
S026,F025,51.36,"Skill Match, Timeline Fit"
S027,F048,55.47,"Industry Match, Skill Match"
S027,F040,51.03,"Industry Match, Skill Match"
S027,F008,50.47,"Skill Match, Timeline Fit"
S028,F016,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
S028,F042,70.0,"Skill Match, Project Type Match, Timeline Fit"
